Company Name,years_in_worst_quartile,avg_ratio,total_upheld,latest_year
Country-Wide Insurance Company,12,0.407553115,529,2021
Permanent General Assurance Corporation,11,1.2907112956363636,69,2024
Philadelphia Indemnity Insurance Company,11,0.8231515782727272,36,2024
Travelers Property Casualty Insurance Company,10,1.4443146269,16,2024
Infinity Insurance Company,9,1.5031008332222222,14,2024
CSAA Fire & Casualty Insurance Company,9,5.236856739333334,39,2021
American Bankers Insurance Company of Florida,7,1.5923771184285713,13,2024
Twin City Fire Insurance Company,7,5.810257142857142,53,2018
SAFECO Insurance Company of America,7,1.1458,14,2019
Hartford Fire Insurance Company,7,1.0349464358571427,16,2024
QBE Insurance Corporation,6,3.122116666666667,35,2018
Trumbull Insurance Company,6,1.3945070343333335,7,2020
Travelers Indemnity Company,5,0.7698535954000001,19,2022
Hanover Insurance Company,5,2.0724,17,2013
Allstate Indemnity Company,5,0.7619,31,2014
Peerless Insurance Company,5,9.08048,20,2017
National General Assurance Company,5,0.2180645704,7,2024
Nationwide Property and Casualty Insurance Company,4,54.11335,4,2018
Nationwide General Insurance Company,4,3.7499000000000002,8,2017
Plymouth Rock Assurance Corporation of New York,4,0.38507791175,20,2024
21st Century Insurance Company,4,6.711975000000001,5,2012
National Liability & Fire Insurance Company,4,2.1905177462500003,9,2024
Travelers Indemnity Company of America,4,0.552925,4,2014
Unitrin Advantage Insurance Company,4,3802.90207,9,2021
Integon National Insurance Company,4,0.35510540525,50,2024
SAFECO Insurance Company of Indiana,3,0.3850466243333333,9,2023
Progressive Northern Insurance Company,3,3.3549185933333328,5,2021
Travelers Indemnity Company of Connecticut,3,0.8670556466666667,8,2022
"National Union Fire Insurance Company of Pittsburgh, Pa.",3,14.766596383333331,8,2024
Ocean Harbor Casualty Insurance Company,3,2.2014666666666667,11,2014
New Hampshire Insurance Company,3,455.36529999999993,14,2014
Midvale Indemnity Company,3,0.8138198623333333,4,2022
Meritplan Insurance Company,3,3.7828999999999997,5,2011
Merchants Mutual Insurance Company,3,5.627166666666667,4,2014
Kemper Independence Insurance Company,3,0.18070858833333334,13,2024
Infinity Auto Insurance Company,3,5.556933333333333,4,2017
GEICO Casualty Company,3,0.5264333333333333,3,2013
Federal Insurance Company,3,1.0095562693333333,3,2022
Encompass Property and Casualty Company,3,0.3604046046666667,3,2020
Dairyland Insurance Company,3,0.5462333333333333,4,2017
Central Mutual Insurance Company,3,0.17579999999999998,3,2019
Victoria Fire & Casualty Company,3,51.37283333333334,5,2016
