Company Name,complaints_2023,complaints_2024,complaint_change,pct_change
State Farm Mutual Automobile Insurance Company,430,847,417,97.0
Integon National Insurance Company,43,227,184,427.9
Progressive Advanced Insurance Company,68,222,154,226.5
Allstate Fire and Casualty Insurance Company,284,391,107,37.7
Country-Wide Insurance Company,39,112,73,187.2
Progressive Direct Insurance Company,28,87,59,210.7
New York Central Mutual Fire Insurance Company,58,111,53,91.4
State Farm Fire and Casualty Company,46,97,51,110.9
GEICO Indemnity Company,212,262,50,23.6
Garrison Property and Casualty Insurance Company,30,75,45,150.0
Allstate Insurance Company,90,132,42,46.7
Progressive Casualty Insurance Company,200,241,41,20.5
GEICO General Insurance Company,422,458,36,8.5
USAA Casualty Insurance Company,39,75,36,92.3
USAA General Indemnity Company,40,76,36,90.0
